time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz
0.100000,1.229691,-0.002749,0.415400,-0.002995,-0.003182,-0.049630,0.201136,0.080849,-0.050000,0.200000,0.080000
0.200000,1.245832,-0.025998,0.378279,0.016286,-0.002862,-0.047833,0.206283,0.085115,#,#,#
0.300000,1.268242,-0.060192,0.323912,0.043857,-0.002047,-0.045079,0.213558,0.091328,#,#,#
0.400000,1.291300,-0.098567,0.264394,0.072849,-0.001135,-0.041946,0.221104,0.097779,#,#,#
0.500000,1.314263,-0.138966,0.203440,0.101108,-0.000294,-0.038473,0.228429,0.103912,#,#,#
0.600000,1.339073,-0.180313,0.142603,0.127803,0.000397,-0.034194,0.235469,0.109532,#,#,#
0.700000,1.369987,-0.213642,0.095601,0.147248,0.000592,-0.027837,0.241228,0.113378,#,#,#
0.800000,1.402619,-0.213267,0.100813,0.144844,0.000557,-0.019886,0.242206,0.112235,#,#,#
0.900000,1.425812,-0.182523,0.152425,0.123273,0.000023,-0.013540,0.238329,0.106721,#,#,#
1.002000,1.440235,-0.139825,0.221355,0.093009,-0.001042,-0.009186,0.231978,0.099445,#,#,#
1.102000,1.449668,-0.098901,0.287540,0.062442,-0.002126,-0.006136,0.225228,0.092196,#,#,#
1.202000,1.456844,-0.061583,0.349111,0.032605,-0.003131,-0.003722,0.218466,0.085101,#,#,#
1.302000,1.462296,-0.027394,0.407116,0.003203,-0.004088,-0.001772,0.211665,0.078075,#,#,#
1.402000,1.465778,0.004198,0.462501,-0.026067,-0.005029,-0.000292,0.204756,0.071059,#,#,#
1.502000,1.466740,0.033383,0.515617,-0.055250,-0.005955,0.000651,0.197718,0.064061,#,#,#
1.602000,1.465668,0.060281,0.566538,-0.084272,-0.006856,0.001206,0.190574,0.057133,#,#,#
1.702000,1.456292,0.085209,0.614790,-0.112766,-0.007688,0.000287,0.183347,0.050481,#,#,#
1.802000,1.426721,0.106608,0.651961,-0.135377,-0.008023,-0.004210,0.177182,0.045716,#,#,#
1.902000,1.380783,0.115089,0.656643,-0.138236,-0.008010,-0.012165,0.175487,0.046054,#,#,#
2.004000,1.338033,0.110470,0.632899,-0.124144,-0.007891,-0.020515,0.177838,0.050596,#,#,#
2.106000,1.305320,0.095675,0.594173,-0.100965,-0.007391,-0.027857,0.182246,0.056951,#,#,#
2.208000,1.279393,0.074010,0.549769,-0.074746,-0.006680,-0.034405,0.187221,0.063489,#,#,#
2.310000,1.256974,0.047842,0.502355,-0.047470,-0.005883,-0.040594,0.192286,0.069917,#,#,#
2.412000,1.236540,0.018032,0.451986,-0.019429,-0.005018,-0.046669,0.197369,0.076313,#,#,#
2.514000,1.217453,-0.015203,0.398399,0.009309,-0.004088,-0.052731,0.202458,0.082721,#,#,#
2.616000,1.199252,-0.051769,0.341488,0.038592,-0.003106,-0.058849,0.207517,0.089120,#,#,#
2.718000,1.181403,-0.091582,0.281228,0.068207,-0.002092,-0.065110,0.212483,0.095463,#,#,#
2.820000,1.163157,-0.134476,0.217747,0.097849,-0.001071,-0.071647,0.217247,0.101679,#,#,#
2.922000,1.143150,-0.179893,0.151904,0.126881,-0.000101,-0.078713,0.221572,0.107605,#,#,#
3.024000,1.117724,-0.223615,0.090564,0.152277,0.000539,-0.086868,0.224533,0.112498,#,#,#
3.126000,1.084668,-0.240912,0.071175,0.159515,0.000547,-0.095199,0.222998,0.113162,#,#,#
3.228000,1.055720,-0.220721,0.109374,0.144080,0.000343,-0.100111,0.217070,0.108611,#,#,#
3.330000,1.035440,-0.181749,0.174920,0.116461,-0.000453,-0.101422,0.209506,0.101568,#,#,#
3.432000,1.020599,-0.140492,0.243187,0.086193,-0.001428,-0.100927,0.201909,0.094141,#,#,#
3.534000,1.008260,-0.102440,0.307074,0.056409,-0.002349,-0.099722,0.194634,0.086867,#,#,#
3.636000,0.997408,-0.067688,0.367004,0.027119,-0.003222,-0.098078,0.187591,0.079691,#,#,#
3.738000,0.988080,-0.035574,0.424152,-0.002055,-0.004086,-0.095973,0.180700,0.072534,#,#,#
3.840000,0.980787,-0.005748,0.479072,-0.031250,-0.004953,-0.093325,0.173970,0.065390,#,#,#
3.942000,0.976683,0.022078,0.532014,-0.060492,-0.005831,-0.089974,0.167490,0.058304,#,#,#
4.044000,0.977635,0.048635,0.583024,-0.089754,-0.006723,-0.085689,0.161421,0.051439,#,#,#
4.146000,0.995566,0.074562,0.626855,-0.115879,-0.007358,-0.079209,0.157463,0.046073,#,#,#
4.248000,1.038319,0.091176,0.640549,-0.124237,-0.007369,-0.071349,0.159337,0.045838,#,#,#
