time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
0.100000,1.229691,-0.002726,0.415394,-0.002992,-0.003182,-0.049630,0.201136,0.080855,-0.050000,0.200000,0.080000,-0.126311,0.026311,0.131412,0.268588
0.200000,1.245832,-0.025891,0.378244,0.016303,-0.002861,-0.047833,0.206284,0.085146,#,#,#,#,#,#,#
0.300000,1.268242,-0.059990,0.323828,0.043899,-0.002044,-0.045079,0.213559,0.091393,#,#,#,#,#,#,#
0.400000,1.291300,-0.098289,0.264244,0.072922,-0.001129,-0.041946,0.221104,0.097880,#,#,#,#,#,#,#
0.500000,1.314263,-0.138638,0.203209,0.101217,-0.000285,-0.038473,0.228429,0.104047,#,#,#,#,#,#,#
0.600000,1.339073,-0.179955,0.142275,0.127952,0.000411,-0.034194,0.235469,0.109701,#,#,#,#,#,#,#
0.700000,1.369987,-0.213256,0.095175,0.147437,0.000607,-0.027837,0.241229,0.113581,#,#,#,#,#,#,#
0.800000,1.402619,-0.212804,0.100333,0.145060,0.000573,-0.019886,0.242207,0.112470,#,#,#,#,#,#,#
0.900000,1.425812,-0.181912,0.151943,0.123508,0.000040,-0.013541,0.238329,0.106991,#,#,#,#,#,#,#
1.002000,1.440235,-0.139018,0.220901,0.093253,-0.001024,-0.009186,0.231979,0.099750,#,#,#,#,#,#,#
1.102000,1.449668,-0.097872,0.287129,0.062685,-0.002109,-0.006136,0.225228,0.092536,#,#,#,#,#,#,#
1.202000,1.456844,-0.060304,0.348753,0.032836,-0.003114,-0.003722,0.218466,0.085475,#,#,#,#,#,#,#
1.302000,1.462296,-0.025834,0.406824,0.003409,-0.004075,-0.001772,0.211666,0.078483,#,#,#,#,#,#,#
1.402000,1.465778,0.006079,0.462288,-0.025901,-0.005019,-0.000292,0.204757,0.071501,#,#,#,#,#,#,#
1.502000,1.466740,0.035627,0.515497,-0.055141,-0.005950,0.000651,0.197719,0.064536,#,#,#,#,#,#,#
1.602000,1.465668,0.062934,0.566527,-0.084241,-0.006859,0.001206,0.190574,0.057643,#,#,#,#,#,#,#
1.702000,1.456292,0.088318,0.614898,-0.112834,-0.007701,0.000287,0.183348,0.051025,#,#,#,#,#,#,#
1.802000,1.426721,0.110143,0.652164,-0.135537,-0.008042,-0.004210,0.177183,0.046294,#,#,#,#,#,#,#
1.902000,1.380783,0.118820,0.656838,-0.138408,-0.008029,-0.012165,0.175489,0.046665,#,#,#,#,#,#,#
2.004000,1.338033,0.114171,0.632987,-0.124249,-0.007907,-0.020515,0.177840,0.051239,#,#,#,#,#,#,#
2.106000,1.305320,0.099259,0.594111,-0.100973,-0.007398,-0.027858,0.182248,0.057629,#,#,#,#,#,#,#
2.208000,1.279393,0.077445,0.549541,-0.074651,-0.006677,-0.034405,0.187224,0.064202,#,#,#,#,#,#,#
2.310000,1.256974,0.051117,0.501952,-0.047273,-0.005871,-0.040595,0.192288,0.070665,#,#,#,#,#,#,#
2.412000,1.236540,0.021139,0.451396,-0.019134,-0.004996,-0.046669,0.197371,0.077096,#,#,#,#,#,#,#
2.514000,1.217453,-0.012277,0.397606,0.009703,-0.004057,-0.052732,0.202460,0.083538,#,#,#,#,#,#,#
2.616000,1.199252,-0.049037,0.340473,0.039083,-0.003066,-0.058850,0.207520,0.089972,#,#,#,#,#,#,#
2.718000,1.181403,-0.089056,0.279970,0.068794,-0.002042,-0.065111,0.212486,0.096350,#,#,#,#,#,#,#
2.820000,1.163157,-0.132167,0.216221,0.098528,-0.001012,-0.071648,0.217250,0.102601,#,#,#,#,#,#,#
2.922000,1.143150,-0.177811,0.150085,0.127647,-0.000034,-0.078714,0.221575,0.108562,#,#,#,#,#,#,#
3.024000,1.117724,-0.221730,0.088458,0.153117,0.000613,-0.086870,0.224536,0.113488,#,#,#,#,#,#,#
3.126000,1.084668,-0.239013,0.068963,0.160385,0.000621,-0.095200,0.223001,0.114186,#,#,#,#,#,#,#
3.228000,1.055720,-0.218502,0.107314,0.144930,0.000416,-0.100112,0.217072,0.109670,#,#,#,#,#,#,#
3.330000,1.035440,-0.179048,0.173123,0.117263,-0.000385,-0.101423,0.209508,0.102665,#,#,#,#,#,#,#
3.432000,1.020599,-0.137261,0.241666,0.086928,-0.001366,-0.100928,0.201910,0.095272,#,#,#,#,#,#,#
3.534000,1.008261,-0.098654,0.305820,0.057061,-0.002295,-0.099723,0.194636,0.088032,#,#,#,#,#,#,#
3.636000,0.997408,-0.063309,0.366017,0.027670,-0.003178,-0.098079,0.187593,0.080892,#,#,#,#,#,#,#
3.738000,0.988080,-0.030548,0.423440,-0.001630,-0.004053,-0.095974,0.180702,0.073770,#,#,#,#,#,#,#
3.840000,0.980787,-0.000013,0.478648,-0.030978,-0.004936,-0.093326,0.173972,0.066660,#,#,#,#,#,#,#
3.942000,0.976683,0.028593,0.531892,-0.060406,-0.005831,-0.089975,0.167492,0.059609,#,#,#,#,#,#,#
4.044000,0.977635,0.055999,0.583213,-0.089888,-0.006743,-0.085690,0.161422,0.052779,#,#,#,#,#,#,#
4.146000,0.995566,0.082729,0.627301,-0.116222,-0.007398,-0.079210,0.157465,0.047447,#,#,#,#,#,#,#
4.248000,1.038319,0.099645,0.641007,-0.124613,-0.007410,-0.071350,0.159338,0.047245,#,#,#,#,#,#,#
4.350000,1.084927,0.101104,0.624170,-0.115098,-0.007377,-0.065009,0.165301,0.051273,#,#,#,#,#,#,#
4.452000,1.124014,0.092330,0.590083,-0.095237,-0.007219,-0.060634,0.172718,0.057602,#,#,#,#,#,#,#
4.554000,1.156237,0.075358,0.548841,-0.071263,-0.006828,-0.057360,0.180299,0.064252,#,#,#,#,#,#,#
