time,a1m,a2m,a3m,a4m,a5m,x,y,z
0.100000,-0.040060,0.016775,0.553817,-0.096355,-0.008834,-0.179279,0.001511,0.049866
0.200000,-0.005962,0.041233,0.574143,-0.108959,-0.008871,-0.176138,0.007964,0.049749
0.300000,0.042748,0.074442,0.600457,-0.126013,-0.008912,-0.171572,0.016921,0.049729
0.400000,0.094865,0.107463,0.625800,-0.142995,-0.008950,-0.166582,0.026095,0.049743
0.500000,0.147040,0.139476,0.649663,-0.159574,-0.008988,-0.161322,0.034836,0.049767
0.600000,0.198318,0.175101,0.675347,-0.178325,-0.009112,-0.155355,0.042892,0.049797
0.700000,0.239512,0.228608,0.711988,-0.207348,-0.010119,-0.147709,0.048436,0.049862
0.800000,0.239665,0.303370,0.760027,-0.249231,-0.012244,-0.139846,0.046705,0.049911
0.900000,0.197857,0.370528,0.800461,-0.287901,-0.013974,-0.134750,0.039029,0.049875
1.002000,0.133635,0.418621,0.827548,-0.316160,-0.014640,-0.132133,0.028912,0.049864
1.102000,0.064557,0.448310,0.843368,-0.333814,-0.014676,-0.130887,0.018711,0.049892
1.202000,-0.005674,0.464309,0.851650,-0.343304,-0.014689,-0.130308,0.008645,0.049918
1.302000,-0.075877,0.468145,0.853718,-0.345426,-0.014687,-0.130186,-0.001331,0.049921
1.402000,-0.145068,0.461758,0.851645,-0.342025,-0.014668,-0.130168,-0.011223,0.049668
1.502000,-0.211739,0.441619,0.842118,-0.329854,-0.014616,-0.130857,-0.021054,0.049484
1.602000,-0.273833,0.406712,0.823638,-0.308491,-0.014172,-0.132526,-0.030805,0.049451
1.702000,-0.327288,0.354898,0.794257,-0.277516,-0.012918,-0.135596,-0.040189,0.049477
1.802000,-0.354605,0.281722,0.749590,-0.235235,-0.010660,-0.141583,-0.046988,0.049510
1.902000,-0.335001,0.210836,0.703446,-0.195475,-0.008743,-0.149736,-0.046647,0.049438
2.004000,-0.284254,0.161756,0.669609,-0.168519,-0.008139,-0.157187,-0.039996,0.049367
2.106000,-0.226208,0.127628,0.644817,-0.150052,-0.008101,-0.163062,-0.031004,0.049370
2.208000,-0.170339,0.096922,0.621721,-0.133690,-0.008068,-0.168061,-0.021781,0.049392
2.310000,-0.117455,0.064518,0.596739,-0.116662,-0.008032,-0.172756,-0.012675,0.049398
2.412000,-0.066825,0.029198,0.568809,-0.098306,-0.007992,-0.177358,-0.003586,0.049390
2.514000,-0.018272,-0.009267,0.537522,-0.078501,-0.007948,-0.181944,0.005527,0.049377
2.616000,0.027943,-0.051166,0.502406,-0.057130,-0.007831,-0.186587,0.014629,0.049363
2.718000,0.071405,-0.096993,0.462780,-0.033988,-0.007552,-0.191390,0.023653,0.049349
2.820000,0.111520,-0.147588,0.417579,-0.008728,-0.007067,-0.196514,0.032499,0.049333
2.922000,0.147016,-0.204695,0.364756,0.019405,-0.006298,-0.202264,0.040940,0.049315
3.024000,0.172733,-0.272239,0.299847,0.052115,-0.005076,-0.209417,0.047949,0.049300
3.126000,0.171146,-0.339996,0.232392,0.084178,-0.003862,-0.217770,0.049181,0.049235
3.228000,0.140802,-0.378566,0.192905,0.101864,-0.003701,-0.223879,0.042961,0.049160
3.330000,0.098168,-0.391258,0.179378,0.107265,-0.003691,-0.227085,0.033049,0.049164
3.432000,0.054391,-0.393386,0.176715,0.107800,-0.003686,-0.228596,0.022566,0.049200
3.534000,0.011824,-0.393438,0.176546,0.107822,-0.003682,-0.229358,0.012303,0.049222
3.636000,-0.030131,-0.393457,0.176523,0.107839,-0.003679,-0.229665,0.002167,0.049224
3.738000,-0.072029,-0.393449,0.176528,0.107844,-0.003676,-0.229543,-0.007957,0.049225
3.840000,-0.114033,-0.392849,0.177142,0.107821,-0.003676,-0.228941,-0.018085,0.049252
3.942000,-0.156126,-0.388781,0.181506,0.107041,-0.003681,-0.227531,-0.028140,0.049342
4.044000,-0.198033,-0.377004,0.194127,0.102761,-0.003696,-0.224780,-0.037882,0.049395
4.146000,-0.234181,-0.342267,0.230126,0.087554,-0.003867,-0.219192,-0.045521,0.049451
4.248000,-0.243004,-0.276727,0.295805,0.057274,-0.004946,-0.210939,-0.045768,0.049524
4.350000,-0.224589,-0.207257,0.363110,0.024447,-0.006232,-0.203256,-0.039808,0.049538
4.452000,-0.191106,-0.147927,0.418502,-0.003913,-0.007111,-0.197163,-0.031202,0.049547
4.554000,-0.151803,-0.097724,0.463686,-0.028086,-0.007602,-0.192063,-0.022026,0.049584
4.656000,-0.109810,-0.053196,0.502477,-0.049699,-0.007857,-0.187368,-0.012844,0.049628
4.758000,-0.065479,-0.012586,0.536847,-0.069580,-0.007954,-0.182809,-0.003678,0.049665
4.860000,-0.018797,0.024727,0.567576,-0.087985,-0.007994,-0.178275,0.005497,0.049692
4.962000,0.030060,0.059123,0.595162,-0.105059,-0.008032,-0.173689,0.014656,0.049716
5.064000,0.080775,0.091193,0.620226,-0.121079,-0.008069,-0.168953,0.023744,0.049737
5.166000,0.132929,0.122129,0.643781,-0.136654,-0.008105,-0.163919,0.032670,0.049758
5.268000,0.185748,0.154705,0.667871,-0.153267,-0.008147,-0.158305,0.041231,0.049783
5.370000,0.235561,0.197697,0.698382,-0.175729,-0.008555,-0.151393,0.048581,0.049825
5.472000,0.257524,0.267293,0.744817,-0.213349,-0.010294,-0.142973,0.050391,0.049905
5.574000,0.231313,0.342892,0.792097,-0.255444,-0.012344,-0.136448,0.044611,0.049895
5.676000,0.173884,0.400800,0.825942,-0.288456,-0.013468,-0.132949,0.035049,0.049862
5.778000,0.105316,0.439212,0.847021,-0.310695,-0.013647,-0.131264,0.024649,0.049879
5.880000,0.034175,0.462221,0.859121,-0.324098,-0.013667,-0.130456,0.014328,0.049910
5.982000,-0.037462,0.471973,0.864214,-0.329619,-0.013672,-0.130189,0.004129,0.049928
6.084000,-0.108644,0.470295,0.864013,-0.328829,-0.013661,-0.130177,-0.006003,0.049798
6.186000,-0.177961,0.455836,0.857774,-0.320562,-0.013630,-0.130572,-0.016049,0.049538
6.288000,-0.243430,0.425814,0.842327,-0.302563,-0.013409,-0.131935,-0.026029,0.049451
6.390000,-0.301760,0.378824,0.816202,-0.274773,-0.012461,-0.134570,-0.035770,0.049465
