time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
0.100000,0.804510,0.181512,-0.380448,0.268439,0.023399,-0.087749,0.116938,0.304365,-0.112739,-0.003164,0.223278,-0.310836,0.129251,-0.317399,0.306010
0.200000,0.809880,0.156866,-0.380606,0.266633,0.023391,-0.091341,0.121886,0.300450,#,#,#,#,#,#,#
0.300000,0.817620,0.119742,-0.384110,0.264768,0.023384,-0.096295,0.128970,0.294803,#,#,#,#,#,#,#
0.400000,0.825168,0.077261,-0.393787,0.264220,0.023380,-0.101308,0.136272,0.289047,#,#,#,#,#,#,#
0.500000,0.831841,0.031480,-0.409603,0.264208,0.023379,-0.106197,0.143394,0.283466,#,#,#,#,#,#,#
0.600000,0.837782,-0.017756,-0.431477,0.264220,0.023381,-0.111036,0.150419,0.277958,#,#,#,#,#,#,#
0.700000,0.843196,-0.070906,-0.459748,0.264253,0.023385,-0.115860,0.157417,0.272468,#,#,#,#,#,#,#
0.800000,0.848187,-0.128356,-0.495006,0.264493,0.023391,-0.120671,0.164404,0.266996,#,#,#,#,#,#,#
0.900000,0.852804,-0.190578,-0.538083,0.265210,0.023398,-0.125461,0.171370,0.261565,#,#,#,#,#,#,#
1.002000,0.857166,-0.259716,-0.591417,0.266076,0.023406,-0.130339,0.178468,0.256046,#,#,#,#,#,#,#
1.102000,0.861135,-0.334227,-0.655164,0.266357,0.023412,-0.135120,0.185424,0.250647,#,#,#,#,#,#,#
1.202000,0.864831,-0.417321,-0.734029,0.266168,0.023412,-0.139844,0.192313,0.245388,#,#,#,#,#,#,#
1.302000,0.868273,-0.511966,-0.834214,0.261336,0.023398,-0.144543,0.199170,0.240138,#,#,#,#,#,#,#
1.402000,0.866406,-0.568468,-0.883697,0.254139,0.023385,-0.148774,0.203515,0.234301,#,#,#,#,#,#,#
1.502000,0.849937,-0.519416,-0.784105,0.248815,0.023363,-0.152544,0.201448,0.227532,#,#,#,#,#,#,#
1.602000,0.824680,-0.435570,-0.644071,0.231811,0.023157,-0.156075,0.195634,0.220113,#,#,#,#,#,#,#
1.702000,0.797587,-0.365292,-0.528880,0.208405,0.022686,-0.159502,0.189153,0.212621,#,#,#,#,#,#,#
1.802000,0.770738,-0.314405,-0.441854,0.184846,0.022289,-0.163047,0.183049,0.205309,#,#,#,#,#,#,#
1.902000,0.744009,-0.276064,-0.371809,0.162289,0.022020,-0.166677,0.177200,0.198091,#,#,#,#,#,#,#
2.004000,0.716534,-0.244886,-0.310524,0.140175,0.021847,-0.170387,0.171276,0.190723,#,#,#,#,#,#,#
2.106000,0.688755,-0.219904,-0.256683,0.119120,0.021778,-0.174079,0.165327,0.183331,#,#,#,#,#,#,#
2.208000,0.660713,-0.200579,-0.209215,0.099424,0.021738,-0.177761,0.159361,0.175925,#,#,#,#,#,#,#
2.310000,0.632467,-0.186581,-0.167422,0.081297,0.021702,-0.181441,0.153392,0.168514,#,#,#,#,#,#,#
2.412000,0.604066,-0.177594,-0.130710,0.064848,0.021669,-0.185120,0.147424,0.161101,#,#,#,#,#,#,#
2.514000,0.575556,-0.173349,-0.098604,0.050139,0.021640,-0.188800,0.141458,0.153685,#,#,#,#,#,#,#
