time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
0.100000,-1.014032,-0.398217,-0.153060,0.248057,0.026158,-0.136230,-0.220640,0.129711,-0.076530,0.012616,0.114411,-0.350819,0.161355,-0.321806,0.302621
0.200000,-1.019700,-0.335104,-0.072394,0.224709,0.025500,-0.131643,-0.216002,0.126762,#,#,#,#,#,#,#
0.300000,-1.028923,-0.251144,0.030060,0.191512,0.024138,-0.124959,-0.209513,0.122998,#,#,#,#,#,#,#
0.400000,-1.039450,-0.168403,0.127189,0.156607,0.022661,-0.117944,-0.202768,0.119168,#,#,#,#,#,#,#
0.500000,-1.050594,-0.091242,0.214491,0.122233,0.021251,-0.111110,-0.196229,0.115466,#,#,#,#,#,#,#
0.600000,-1.062465,-0.017649,0.294779,0.087973,0.019863,-0.104398,-0.189821,0.111837,#,#,#,#,#,#,#
0.700000,-1.075289,0.054367,0.370479,0.053228,0.018439,-0.097708,-0.183435,0.108215,#,#,#,#,#,#,#
0.800000,-1.089237,0.125776,0.442664,0.017736,0.016953,-0.091008,-0.177035,0.104580,#,#,#,#,#,#,#
0.900000,-1.104457,0.197104,0.511799,-0.018648,0.015391,-0.084302,-0.170627,0.100937,#,#,#,#,#,#,#
1.002000,-1.121466,0.270267,0.579502,-0.056886,0.013700,-0.077459,-0.164090,0.097216,#,#,#,#,#,#,#
1.102000,-1.139805,0.342932,0.643381,-0.095792,0.011917,-0.070751,-0.157681,0.093567,#,#,#,#,#,#,#
1.202000,-1.160038,0.417080,0.704953,-0.136528,0.009972,-0.064043,-0.151272,0.089915,#,#,#,#,#,#,#
1.302000,-1.182457,0.493285,0.764264,-0.179665,0.007810,-0.057334,-0.144862,0.086260,#,#,#,#,#,#,#
1.402000,-1.207367,0.566022,0.810841,-0.239727,0.004051,-0.050700,-0.138630,0.082360,#,#,#,#,#,#,#
1.502000,-1.228430,0.599306,0.772404,-0.414830,-0.010605,-0.045063,-0.132488,0.077773,#,#,#,#,#,#,#
1.602000,-1.219082,0.600112,0.670120,-0.659216,-0.031819,-0.043176,-0.123675,0.075307,#,#,#,#,#,#,#
1.702000,-1.185652,0.600013,0.580856,-0.862397,-0.049116,-0.043806,-0.113292,0.075132,#,#,#,#,#,#,#
