time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
0.100000,1.201067,0.500492,0.258566,-0.008492,-0.003425,-0.039550,0.158597,0.211423,-0.013473,0.171533,0.131043,-0.172352,0.171383,0.019222,0.316951
0.200000,1.203612,0.447319,0.236809,0.003317,-0.003391,-0.041554,0.164964,0.208190,#,#,#,#,#,#,#
0.300000,1.207793,0.373086,0.202870,0.021206,-0.003339,-0.044125,0.173762,0.203990,#,#,#,#,#,#,#
0.400000,1.212034,0.294773,0.163571,0.040955,-0.003242,-0.046717,0.182878,0.199697,#,#,#,#,#,#,#
0.500000,1.215809,0.216633,0.120810,0.061315,-0.003103,-0.049244,0.191782,0.195541,#,#,#,#,#,#,#
0.600000,1.219444,0.140685,0.076530,0.081246,-0.002954,-0.051607,0.200332,0.191440,#,#,#,#,#,#,#
0.700000,1.229541,0.125497,0.080131,0.078997,-0.003055,-0.050401,0.203148,0.187221,#,#,#,#,#,#,#
0.800000,1.248020,0.178731,0.139162,0.051025,-0.004174,-0.044991,0.199272,0.182791,#,#,#,#,#,#,#
0.900000,1.270332,0.253363,0.213880,0.013652,-0.005960,-0.038227,0.193044,0.177940,#,#,#,#,#,#,#
1.002000,1.294756,0.327173,0.285539,-0.024502,-0.007751,-0.031362,0.186670,0.172874,#,#,#,#,#,#,#
1.102000,1.320213,0.394345,0.349053,-0.060525,-0.009371,-0.024820,0.180762,0.167967,#,#,#,#,#,#,#
1.202000,1.340720,0.431247,0.387395,-0.082589,-0.010014,-0.020116,0.177512,0.164032,#,#,#,#,#,#,#
1.302000,1.342814,0.385197,0.361348,-0.065593,-0.009354,-0.020781,0.182270,0.163006,#,#,#,#,#,#,#
1.402000,1.336964,0.295671,0.298920,-0.028217,-0.007474,-0.024071,0.191488,0.163427,#,#,#,#,#,#,#
1.502000,1.329189,0.199654,0.226588,0.012077,-0.005413,-0.028069,0.201391,0.164096,#,#,#,#,#,#,#
1.602000,1.322058,0.106795,0.151851,0.050491,-0.003541,-0.032003,0.210926,0.164740,#,#,#,#,#,#,#
1.702000,1.315879,0.015231,0.073365,0.087542,-0.001796,-0.035802,0.220219,0.165376,#,#,#,#,#,#,#
1.802000,1.310362,-0.077898,-0.011429,0.124068,-0.000096,-0.039556,0.229473,0.166011,#,#,#,#,#,#,#
1.902000,1.305300,-0.174460,-0.104752,0.160247,0.001580,-0.043313,0.238750,0.166642,#,#,#,#,#,#,#
2.004000,1.300525,-0.278300,-0.211517,0.196476,0.003238,-0.047156,0.248235,0.167282,#,#,#,#,#,#,#
2.106000,1.296105,-0.390336,-0.334689,0.231094,0.004766,-0.051007,0.257738,0.167924,#,#,#,#,#,#,#
2.208000,1.286106,-0.479808,-0.441253,0.255467,0.005417,-0.055604,0.264283,0.168888,#,#,#,#,#,#,#
2.310000,1.259656,-0.484992,-0.457303,0.259711,0.005417,-0.062559,0.262606,0.171269,#,#,#,#,#,#,#
2.412000,1.224836,-0.452824,-0.432835,0.258240,0.005411,-0.070608,0.257002,0.174709,#,#,#,#,#,#,#
2.514000,1.188501,-0.419519,-0.407309,0.256948,0.005407,-0.078677,0.250811,0.178169,#,#,#,#,#,#,#
2.616000,1.152250,-0.394333,-0.390739,0.256846,0.005406,-0.086642,0.244960,0.181383,#,#,#,#,#,#,#
2.718000,1.115819,-0.375899,-0.382037,0.256855,0.005409,-0.094591,0.239348,0.184417,#,#,#,#,#,#,#
2.820000,1.078947,-0.362349,-0.379501,0.256896,0.005414,-0.102547,0.233777,0.187431,#,#,#,#,#,#,#
2.922000,1.041642,-0.353181,-0.380523,0.257518,0.005422,-0.110540,0.228238,0.190096,#,#,#,#,#,#,#
3.024000,1.005406,-0.345986,-0.382678,0.258675,0.005427,-0.118178,0.222716,0.192553,#,#,#,#,#,#,#
3.126000,0.986686,-0.311865,-0.334727,0.247629,0.005319,-0.121079,0.218151,0.190305,#,#,#,#,#,#,#
3.228000,0.984080,-0.256370,-0.242663,0.221395,0.004539,-0.119628,0.214691,0.182355,#,#,#,#,#,#,#
3.330000,0.984097,-0.202383,-0.148289,0.190420,0.003432,-0.117334,0.211249,0.172547,#,#,#,#,#,#,#
3.432000,0.984119,-0.157177,-0.065878,0.160257,0.002428,-0.115077,0.207866,0.162840,#,#,#,#,#,#,#
3.534000,0.984144,-0.119651,0.006072,0.131578,0.001575,-0.112892,0.204589,0.153442,#,#,#,#,#,#,#
3.636000,0.984170,-0.087898,0.070988,0.103889,0.000820,-0.110730,0.201349,0.144145,#,#,#,#,#,#,#
3.738000,0.984200,-0.061019,0.130664,0.077002,0.000145,-0.108566,0.198105,0.134842,#,#,#,#,#,#,#
3.840000,0.984231,-0.038744,0.185819,0.051016,-0.000443,-0.106396,0.194854,0.125519,#,#,#,#,#,#,#
3.942000,0.984266,-0.020986,0.236847,0.026079,-0.000930,-0.104224,0.191601,0.116188,#,#,#,#,#,#,#
4.044000,0.984303,-0.007717,0.284060,0.002320,-0.001304,-0.102053,0.188349,0.106855,#,#,#,#,#,#,#
4.146000,0.984343,0.001056,0.327718,-0.020150,-0.001556,-0.099882,0.185098,0.097520,#,#,#,#,#,#,#
4.248000,0.984392,0.005251,0.367995,-0.041201,-0.001673,-0.097711,0.181849,0.088184,#,#,#,#,#,#,#
4.350000,0.984512,0.005595,0.405038,-0.060710,-0.001714,-0.095518,0.178592,0.079003,#,#,#,#,#,#,#
4.452000,0.984693,0.002648,0.438931,-0.078479,-0.001751,-0.093311,0.175337,0.070136,#,#,#,#,#,#,#
4.554000,0.984895,-0.006591,0.469740,-0.094309,-0.001784,-0.091129,0.172123,0.060981,#,#,#,#,#,#,#
4.656000,0.985101,-0.021833,0.497467,-0.108071,-0.001812,-0.088956,0.168922,0.051634,#,#,#,#,#,#,#
4.758000,0.986578,-0.035484,0.524930,-0.121896,-0.001874,-0.086380,0.165518,0.042856,#,#,#,#,#,#,#
4.860000,0.997763,-0.003568,0.569961,-0.150684,-0.002881,-0.080714,0.160633,0.038571,#,#,#,#,#,#,#
4.962000,1.017320,0.066888,0.627162,-0.192541,-0.005033,-0.072778,0.154656,0.038084,#,#,#,#,#,#,#
5.064000,1.040589,0.148089,0.684580,-0.239191,-0.007630,-0.064375,0.148422,0.038534,#,#,#,#,#,#,#
5.166000,1.066208,0.229671,0.738243,-0.287889,-0.010420,-0.056086,0.142248,0.038866,#,#,#,#,#,#,#
5.268000,1.094641,0.311582,0.787919,-0.339310,-0.013468,-0.047900,0.136138,0.039048,#,#,#,#,#,#,#
5.370000,1.126682,0.395195,0.833541,-0.394819,-0.016903,-0.039734,0.130046,0.039188,#,#,#,#,#,#,#
5.472000,1.163095,0.480708,0.874420,-0.455575,-0.020832,-0.031563,0.123952,0.039326,#,#,#,#,#,#,#
5.574000,1.204698,0.561876,0.902395,-0.530491,-0.026092,-0.023398,0.117885,0.039412,#,#,#,#,#,#,#
5.676000,1.252452,0.599467,0.874606,-0.666314,-0.037066,-0.015179,0.111680,0.039028,#,#,#,#,#,#,#
5.778000,1.307486,0.600109,0.817074,-0.821983,-0.049851,-0.006915,0.105258,0.038638,#,#,#,#,#,#,#
5.880000,1.371134,0.600013,0.766953,-0.953699,-0.060301,0.001261,0.099062,0.039253,#,#,#,#,#,#,#
5.982000,1.444821,0.600001,0.732063,-1.056895,-0.067971,0.009406,0.092988,0.039635,#,#,#,#,#,#,#
6.084000,1.529945,0.599996,0.708229,-1.138824,-0.073531,0.017551,0.086932,0.039774,#,#,#,#,#,#,#
6.186000,1.627630,0.599991,0.691425,-1.204241,-0.077413,0.025699,0.080857,0.039859,#,#,#,#,#,#,#
6.288000,1.738298,0.599986,0.679663,-1.254488,-0.079739,0.033844,0.074768,0.039957,#,#,#,#,#,#,#
6.390000,1.833739,0.594026,0.673364,-1.260276,-0.079348,0.040901,0.072172,0.040141,#,#,#,#,#,#,#
6.492000,1.874139,0.559497,0.662548,-1.199469,-0.074942,0.046010,0.077805,0.040395,#,#,#,#,#,#,#
6.594000,1.887098,0.506375,0.645027,-1.113489,-0.068599,0.050286,0.087284,0.040711,#,#,#,#,#,#,#
6.696000,1.894979,0.447765,0.623103,-1.028487,-0.062419,0.054387,0.097136,0.041026,#,#,#,#,#,#,#
6.798000,1.903177,0.387617,0.597517,-0.949667,-0.056833,0.058568,0.106599,0.041320,#,#,#,#,#,#,#
6.900000,1.911085,0.326120,0.568094,-0.875784,-0.051718,0.062820,0.115857,0.041609,#,#,#,#,#,#,#
7.002000,1.917985,0.263252,0.534754,-0.805612,-0.046954,0.067090,0.125092,0.041898,#,#,#,#,#,#,#
7.104000,1.923853,0.199388,0.497695,-0.738653,-0.042495,0.071355,0.134347,0.042187,#,#,#,#,#,#,#
7.206000,1.928913,0.134912,0.457197,-0.674588,-0.038308,0.075616,0.143614,0.042475,#,#,#,#,#,#,#
7.308000,1.933351,0.070021,0.413480,-0.613047,-0.034357,0.079878,0.152884,0.042761,#,#,#,#,#,#,#
7.410000,1.937757,0.004809,0.366790,-0.553732,-0.030615,0.084201,0.162109,0.043030,#,#,#,#,#,#,#
7.512000,1.951051,-0.060001,0.319286,-0.497978,-0.027214,0.089942,0.170250,0.042960,#,#,#,#,#,#,#
7.614000,1.973133,-0.124580,0.271080,-0.445316,-0.024111,0.097341,0.177137,0.042504,#,#,#,#,#,#,#
7.716000,1.996087,-0.189834,0.220298,-0.393844,-0.021120,0.105239,0.183640,0.041934,#,#,#,#,#,#,#
7.818000,2.016788,-0.256281,0.165994,-0.342675,-0.018155,0.113093,0.190177,0.041370,#,#,#,#,#,#,#
7.920000,2.029074,-0.293484,0.128301,-0.310122,-0.016765,0.118322,0.194640,0.042437,#,#,#,#,#,#,#
8.022000,2.025294,-0.252165,0.139501,-0.324328,-0.017293,0.116872,0.193465,0.048291,#,#,#,#,#,#,#
8.122000,2.013361,-0.174550,0.171344,-0.359762,-0.018932,0.112155,0.189588,0.056378,#,#,#,#,#,#,#
8.222000,1.998663,-0.092811,0.203431,-0.397868,-0.020696,0.106727,0.185263,0.064512,#,#,#,#,#,#,#
8.322000,1.983398,-0.015248,0.230197,-0.433322,-0.022191,0.101473,0.181169,0.072386,#,#,#,#,#,#,#
8.422000,1.967655,0.059205,0.252192,-0.466514,-0.023469,0.096387,0.177248,0.080167,#,#,#,#,#,#,#
8.522000,1.951104,0.132031,0.270430,-0.498292,-0.024613,0.091340,0.173359,0.087947,#,#,#,#,#,#,#
8.622000,1.933540,0.203486,0.285255,-0.528787,-0.025635,0.086285,0.169455,0.095735,#,#,#,#,#,#,#
8.722000,1.914866,0.273250,0.296699,-0.557752,-0.026511,0.081221,0.165538,0.103525,#,#,#,#,#,#,#
8.822000,1.895000,0.340922,0.304776,-0.584874,-0.027212,0.076152,0.161617,0.111314,#,#,#,#,#,#,#
8.922000,1.873849,0.406138,0.309547,-0.609854,-0.027709,0.071082,0.157693,0.119101,#,#,#,#,#,#,#
9.022000,1.851303,0.468550,0.311119,-0.632407,-0.027976,0.066012,0.153768,0.126887,#,#,#,#,#,#,#
9.122000,1.827242,0.527836,0.311074,-0.652168,-0.028036,0.060933,0.149812,0.134401,#,#,#,#,#,#,#
9.222000,1.801537,0.578943,0.299423,-0.680110,-0.028981,0.055867,0.145905,0.141754,#,#,#,#,#,#,#
9.322000,1.774049,0.599794,0.231649,-0.765875,-0.035220,0.050832,0.142147,0.149347,#,#,#,#,#,#,#
9.422000,1.744607,0.600074,0.131916,-0.878718,-0.043985,0.045779,0.138354,0.156992,#,#,#,#,#,#,#
9.522000,1.713054,0.600011,0.033049,-0.980144,-0.051685,0.040650,0.134117,0.165145,#,#,#,#,#,#,#
9.622000,1.679229,0.600001,-0.056078,-1.061306,-0.057498,0.035558,0.130026,0.173101,#,#,#,#,#,#,#
9.722000,1.642954,0.599996,-0.137383,-1.125942,-0.061776,0.030489,0.126098,0.180901,#,#,#,#,#,#,#
