time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
0.100000,1.517484,0.256038,-1.054481,-0.307858,-0.026967,0.017477,0.070475,0.356961,-0.018005,0.144010,0.186743,-0.147327,0.105341,0.019262,0.254045
0.200000,1.549859,0.243560,-1.043630,-0.313855,-0.026987,0.019596,0.076541,0.354779,#,#,#,#,#,#,#
0.300000,1.588354,0.222494,-1.030424,-0.319393,-0.027001,0.022694,0.085404,0.351511,#,#,#,#,#,#,#
0.400000,1.621028,0.196114,-1.020156,-0.320674,-0.027003,0.025975,0.094741,0.348020,#,#,#,#,#,#,#
0.500000,1.646751,0.165662,-1.014388,-0.319078,-0.026994,0.029152,0.104057,0.344469,#,#,#,#,#,#,#
0.600000,1.667636,0.131091,-1.013246,-0.312550,-0.026974,0.032250,0.113185,0.341021,#,#,#,#,#,#,#
0.700000,1.685321,0.092378,-1.014283,-0.300534,-0.026942,0.035370,0.122530,0.337426,#,#,#,#,#,#,#
0.800000,1.694843,0.053883,-1.018643,-0.284834,-0.026908,0.037687,0.131053,0.334192,#,#,#,#,#,#,#
0.900000,1.661596,0.041757,-1.020904,-0.278655,-0.026899,0.033684,0.134424,0.333280,#,#,#,#,#,#,#
1.002000,1.591796,0.045224,-1.022282,-0.278345,-0.026894,0.024286,0.134416,0.333931,#,#,#,#,#,#,#
1.102000,1.513458,0.048154,-1.026211,-0.275913,-0.026879,0.013829,0.133288,0.334997,#,#,#,#,#,#,#
1.202000,1.435486,0.046411,-1.034238,-0.267800,-0.026852,0.003643,0.131497,0.336372,#,#,#,#,#,#,#
1.302000,1.359089,0.036757,-1.046503,-0.253199,-0.026800,-0.006243,0.129868,0.337703,#,#,#,#,#,#,#
1.402000,1.283974,0.017939,-1.063397,-0.231960,-0.026429,-0.016105,0.128692,0.338839,#,#,#,#,#,#,#
1.502000,1.210446,-0.009994,-1.086109,-0.203450,-0.025422,-0.026013,0.127677,0.339903,#,#,#,#,#,#,#
1.602000,1.139186,-0.048421,-1.116860,-0.166062,-0.023575,-0.035941,0.126664,0.340967,#,#,#,#,#,#,#
1.702000,1.086085,-0.075523,-1.133477,-0.144849,-0.022723,-0.044045,0.126434,0.340713,#,#,#,#,#,#,#
1.802000,1.088045,-0.039486,-1.081884,-0.200141,-0.026767,-0.045600,0.129709,0.335741,#,#,#,#,#,#,#
1.902000,1.118097,0.017055,-1.006592,-0.284479,-0.033014,-0.043366,0.134764,0.327620,#,#,#,#,#,#,#
2.004000,1.152967,0.062209,-0.940384,-0.359659,-0.038262,-0.040176,0.140092,0.318695,#,#,#,#,#,#,#
2.106000,1.184385,0.091254,-0.888369,-0.418228,-0.041915,-0.037240,0.145349,0.310122,#,#,#,#,#,#,#
2.208000,1.212758,0.109642,-0.845123,-0.465942,-0.044532,-0.034551,0.150587,0.301786,#,#,#,#,#,#,#
2.310000,1.239365,0.121158,-0.806948,-0.507008,-0.046517,-0.031920,0.155821,0.293474,#,#,#,#,#,#,#
2.412000,1.264698,0.127268,-0.772449,-0.542973,-0.048018,-0.029273,0.161049,0.285129,#,#,#,#,#,#,#
2.514000,1.288825,0.128661,-0.741130,-0.574332,-0.049083,-0.026604,0.166246,0.276783,#,#,#,#,#,#,#
2.616000,1.311762,0.127677,-0.712602,-0.601306,-0.049735,-0.023821,0.171018,0.268794,#,#,#,#,#,#,#
