time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz
1.000000,-1.121117,0.268009,0.578532,-0.056402,0.013709,-0.077593,-0.164218,0.097041,-0.076530,0.012616,0.114411
2.000000,-1.035934,0.599988,0.461569,-1.217917,-0.076777,-0.048249,-0.083786,0.071859,#,#,#
3.002000,0.074168,0.562205,0.440223,-1.504123,-0.091184,-0.061759,0.014556,0.060827,#,#,#
4.004000,0.972067,0.419713,0.259355,-1.168848,-0.072948,-0.052225,0.110328,0.085132,#,#,#
5.006000,1.253065,-0.069573,0.112359,-0.768815,-0.052926,-0.037305,0.179953,0.056781,#,#,#
6.008000,0.880949,-0.300639,-0.065153,-0.536327,-0.041161,-0.123690,0.179302,0.056535,#,#,#
7.010000,0.493961,-0.391618,-0.248355,-0.375598,-0.039077,-0.205286,0.127710,0.083619,#,#,#
8.012000,0.217843,-0.321166,-0.322502,-0.327958,-0.036907,-0.234670,0.064223,0.121311,#,#,#
9.012000,-0.081690,0.146736,-0.153474,-0.560692,-0.042162,-0.190290,-0.007197,0.169050,#,#,#
10.012000,-0.420618,0.600009,-0.289664,-1.218705,-0.085996,-0.099577,-0.039634,0.197183,#,#,#
11.012000,-1.411546,0.598859,-0.794906,-1.637636,-0.117927,-0.009108,-0.072049,0.225664,#,#,#
12.012000,-2.184948,0.512263,-0.673348,-1.722458,-0.132220,0.056656,-0.079417,0.194272,#,#,#
13.012000,-1.466602,0.254141,-0.614096,-1.610549,-0.129756,-0.010710,-0.129945,0.167068,#,#,#
14.012000,-1.117034,-0.212093,-0.737091,-1.145901,-0.102271,-0.089702,-0.187667,0.146248,#,#,#
15.012000,-1.051451,-0.364052,-0.732418,-1.063046,-0.098366,-0.110646,-0.195804,0.118991,#,#,#
16.012000,-1.228699,-0.103262,-0.376039,-1.648843,-0.135923,-0.044584,-0.131399,0.082346,#,#,#
17.014000,-0.585188,-0.004939,-0.075314,-1.999918,-0.150223,-0.055630,-0.033996,0.070021,#,#,#
18.016000,0.643136,0.023413,-0.165463,-1.901378,-0.141928,-0.057423,0.063324,0.075849,#,#,#
19.018000,1.169336,-0.119744,-0.436171,-1.492679,-0.117147,-0.043876,0.154945,0.092512,#,#,#
20.020000,1.084695,-0.529399,-0.563041,-1.096970,-0.098350,-0.083194,0.200228,0.050406,#,#,#
21.022000,0.672088,-0.494384,-0.636551,-1.026340,-0.097851,-0.165136,0.152981,0.074630,#,#,#
22.024000,0.339985,-0.685344,-0.875996,-0.663152,-0.082528,-0.246436,0.101379,0.101154,#,#,#
23.026000,0.064670,-0.278777,-0.764424,-0.986456,-0.097346,-0.216423,0.024206,0.151352,#,#,#
24.028000,-0.210023,0.175853,-0.674783,-1.359537,-0.115350,-0.143776,-0.023666,0.187637,#,#,#
25.030000,-0.823604,0.580078,-0.692581,-1.591406,-0.124014,-0.053293,-0.056651,0.215934,#,#,#
26.032000,-1.940097,0.514684,-0.838130,-1.497656,-0.125718,0.035472,-0.086490,0.239641,#,#,#
27.034000,-1.806608,0.434195,-0.627728,-1.710661,-0.144436,0.027253,-0.102092,0.181485,#,#,#
28.036000,-1.244390,0.035471,-0.662769,-1.384419,-0.127117,-0.051762,-0.159956,0.160243,#,#,#
29.038000,-1.025231,-0.510453,-0.895441,-0.790463,-0.088640,-0.130929,-0.217773,0.139303,#,#,#
30.040000,-1.126620,-0.175135,-0.545585,-1.388908,-0.130112,-0.075528,-0.162322,0.103677,#,#,#
31.042000,-1.014422,0.003216,-0.233226,-1.892778,-0.157615,-0.048983,-0.080901,0.079544,#,#,#
32.044000,0.118617,0.024346,-0.040694,-1.961611,-0.157023,-0.061713,0.017844,0.068612,#,#,#
33.044000,0.987739,0.031565,-0.329686,-1.692316,-0.138362,-0.051902,0.113390,0.094159,#,#,#
34.044000,1.242571,-0.328442,-0.446496,-1.315646,-0.119455,-0.039831,0.181252,0.064198,#,#,#
35.044000,0.869192,-0.478168,-0.575765,-1.072735,-0.107176,-0.125933,0.177831,0.065145,#,#,#
36.044000,0.485438,-0.540081,-0.729238,-0.868446,-0.103088,-0.207427,0.126390,0.092338,#,#,#
37.044000,0.211422,-0.456503,-0.798994,-0.827500,-0.101490,-0.233872,0.062362,0.130503,#,#,#
38.044000,-0.086157,-0.067305,-0.728756,-1.113590,-0.111392,-0.188170,-0.007945,0.177663,#,#,#
39.044000,-0.434052,0.418849,-0.664827,-1.492631,-0.130656,-0.097603,-0.040497,0.205958,#,#,#
40.044000,-1.441431,0.597038,-0.815623,-1.578664,-0.134640,-0.006942,-0.072742,0.234355,#,#,#
