time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
0.100000,0.945038,0.056232,0.609778,-0.128073,-0.013937,-0.087536,0.153389,0.044534,-0.050000,0.200000,0.080000,-0.132447,0.032447,0.127908,0.272092
0.200000,0.982828,0.072150,0.622907,-0.136428,-0.013963,-0.080656,0.155360,0.044415,#,#,#,#,#,#,#
0.300000,1.036379,0.092550,0.638883,-0.146983,-0.013989,-0.070987,0.157983,0.044389,#,#,#,#,#,#,#
0.400000,1.093319,0.109759,0.652079,-0.155732,-0.014010,-0.060929,0.160646,0.044397,#,#,#,#,#,#,#
0.500000,1.150223,0.121626,0.661142,-0.161567,-0.014024,-0.051105,0.163267,0.044408,#,#,#,#,#,#,#
0.600000,1.207205,0.128219,0.666281,-0.164525,-0.014034,-0.041431,0.165877,0.044415,#,#,#,#,#,#,#
0.700000,1.264522,0.129939,0.667808,-0.165000,-0.014038,-0.031779,0.168467,0.044409,#,#,#,#,#,#,#
0.800000,1.322008,0.128798,0.667420,-0.164724,-0.014035,-0.022039,0.170751,0.044306,#,#,#,#,#,#,#
0.900000,1.379265,0.122171,0.663229,-0.161729,-0.014024,-0.012331,0.173036,0.044131,#,#,#,#,#,#,#
1.002000,1.437016,0.109164,0.653759,-0.154967,-0.014006,-0.002497,0.175602,0.044067,#,#,#,#,#,#,#
1.102000,1.479908,0.092369,0.634657,-0.142247,-0.013952,0.004887,0.179017,0.045432,#,#,#,#,#,#,#
1.202000,1.488723,0.073971,0.597385,-0.119110,-0.013458,0.006085,0.184826,0.050635,#,#,#,#,#,#,#
1.302000,1.483776,0.052913,0.550271,-0.090804,-0.012555,0.004583,0.191773,0.057751,#,#,#,#,#,#,#
1.402000,1.476630,0.028305,0.499754,-0.061300,-0.011548,0.002545,0.198796,0.065099,#,#,#,#,#,#,#
1.502000,1.470336,0.000050,0.447163,-0.031555,-0.010519,0.000587,0.205708,0.072256,#,#,#,#,#,#,#
1.602000,1.464966,-0.031692,0.391972,-0.001468,-0.009457,-0.001256,0.212572,0.079298,#,#,#,#,#,#,#
1.702000,1.460091,-0.066826,0.333575,0.029084,-0.008350,-0.003064,0.219435,0.086322,#,#,#,#,#,#,#
1.802000,1.455507,-0.105403,0.271514,0.060099,-0.007197,-0.004875,0.226305,0.093354,#,#,#,#,#,#,#
1.902000,1.451169,-0.147566,0.205332,0.091512,-0.006004,-0.006693,0.233181,0.100394,#,#,#,#,#,#,#
2.004000,1.446993,-0.194553,0.132934,0.123887,-0.004751,-0.008550,0.240198,0.107577,#,#,#,#,#,#,#
2.106000,1.434820,-0.230449,0.076366,0.147785,-0.004187,-0.012093,0.245144,0.113212,#,#,#,#,#,#,#
2.208000,1.402238,-0.233259,0.067344,0.151376,-0.004189,-0.020103,0.244913,0.114845,#,#,#,#,#,#,#
2.310000,1.360231,-0.224480,0.076130,0.149021,-0.004197,-0.030148,0.242447,0.114935,#,#,#,#,#,#,#
2.412000,1.317212,-0.216789,0.084741,0.147044,-0.004201,-0.040321,0.239568,0.114819,#,#,#,#,#,#,#
2.514000,1.275045,-0.213896,0.088436,0.146786,-0.004202,-0.050276,0.236816,0.114734,#,#,#,#,#,#,#
2.616000,1.233407,-0.214082,0.088469,0.146803,-0.004198,-0.060084,0.234023,0.114683,#,#,#,#,#,#,#
2.718000,1.192021,-0.217780,0.085142,0.147500,-0.004190,-0.069840,0.231178,0.114544,#,#,#,#,#,#,#
2.820000,1.150936,-0.226801,0.076249,0.150192,-0.004177,-0.079655,0.228491,0.114468,#,#,#,#,#,#,#
2.922000,1.110304,-0.240367,0.062575,0.154704,-0.004160,-0.089508,0.225880,0.114454,#,#,#,#,#,#,#
3.024000,1.070391,-0.257584,0.045213,0.160550,-0.004143,-0.099332,0.223263,0.114431,#,#,#,#,#,#,#
3.126000,1.041367,-0.254976,0.056378,0.155721,-0.004182,-0.105532,0.219358,0.112310,#,#,#,#,#,#,#
3.228000,1.028597,-0.218836,0.115455,0.131519,-0.004844,-0.105684,0.213354,0.106401,#,#,#,#,#,#,#
3.330000,1.021217,-0.171784,0.189757,0.099359,-0.006037,-0.103489,0.206317,0.099004,#,#,#,#,#,#,#
3.432000,1.013307,-0.128015,0.259963,0.067253,-0.007191,-0.101217,0.199152,0.091564,#,#,#,#,#,#,#
3.534000,1.004027,-0.089850,0.323435,0.036711,-0.008188,-0.099246,0.192107,0.084319,#,#,#,#,#,#,#
3.636000,0.993820,-0.056146,0.382080,0.007171,-0.009086,-0.097403,0.185131,0.077156,#,#,#,#,#,#,#
3.738000,0.982927,-0.026140,0.437222,-0.021760,-0.009925,-0.095570,0.178165,0.069993,#,#,#,#,#,#,#
3.840000,0.971331,0.000243,0.489287,-0.050079,-0.010703,-0.093723,0.171193,0.062818,#,#,#,#,#,#,#
3.942000,0.958932,0.022845,0.538409,-0.077651,-0.011409,-0.091870,0.164219,0.055635,#,#,#,#,#,#,#
4.044000,0.947079,0.041716,0.584198,-0.104052,-0.012005,-0.089855,0.157427,0.048590,#,#,#,#,#,#,#
4.146000,0.961267,0.061936,0.617716,-0.124129,-0.012145,-0.084745,0.154516,0.044584,#,#,#,#,#,#,#
4.248000,1.006942,0.083874,0.637836,-0.136920,-0.012171,-0.075993,0.156111,0.043902,#,#,#,#,#,#,#
4.350000,1.064278,0.103066,0.651437,-0.145875,-0.012192,-0.065912,0.159084,0.044183,#,#,#,#,#,#,#
4.452000,1.122822,0.117410,0.661570,-0.152453,-0.012209,-0.055802,0.161987,0.044391,#,#,#,#,#,#,#
4.554000,1.180985,0.126527,0.668443,-0.156626,-0.012221,-0.045877,0.164699,0.044437,#,#,#,#,#,#,#
4.656000,1.239293,0.130472,0.671713,-0.158122,-0.012228,-0.036029,0.167349,0.044429,#,#,#,#,#,#,#
4.758000,1.297876,0.130489,0.671974,-0.158118,-0.012229,-0.026139,0.169841,0.044390,#,#,#,#,#,#,#
4.860000,1.356419,0.126342,0.669730,-0.156556,-0.012221,-0.016205,0.172095,0.044191,#,#,#,#,#,#,#
4.962000,1.414474,0.115660,0.662203,-0.151249,-0.012206,-0.006349,0.174576,0.044081,#,#,#,#,#,#,#
5.064000,1.467804,0.099620,0.648242,-0.141691,-0.012180,0.002818,0.177443,0.044458,#,#,#,#,#,#,#
5.166000,1.488436,0.081383,0.616443,-0.121754,-0.011902,0.006201,0.182517,0.048411,#,#,#,#,#,#,#
5.268000,1.486017,0.060876,0.570690,-0.094197,-0.011092,0.005214,0.189374,0.055253,#,#,#,#,#,#,#
5.370000,1.478880,0.036888,0.519816,-0.064431,-0.010093,0.003200,0.196563,0.062766,#,#,#,#,#,#,#
5.472000,1.472110,0.009093,0.466689,-0.034313,-0.009063,0.001159,0.203643,0.070127,#,#,#,#,#,#,#
5.574000,1.466407,-0.022371,0.411063,-0.003910,-0.008005,-0.000747,0.210652,0.077331,#,#,#,#,#,#,#
5.676000,1.461330,-0.057372,0.352250,0.026942,-0.006905,-0.002594,0.217650,0.084495,#,#,#,#,#,#,#
5.778000,1.456587,-0.095921,0.289735,0.058270,-0.005757,-0.004439,0.224656,0.091666,#,#,#,#,#,#,#
5.880000,1.452105,-0.138151,0.223047,0.090015,-0.004567,-0.006292,0.231669,0.098845,#,#,#,#,#,#,#
5.982000,1.447876,-0.184317,0.151572,0.122098,-0.003342,-0.008150,0.238685,0.106028,#,#,#,#,#,#,#
6.084000,1.439304,-0.226159,0.086546,0.149585,-0.002529,-0.010928,0.244558,0.112356,#,#,#,#,#,#,#
6.186000,1.410513,-0.234631,0.069062,0.156479,-0.002522,-0.018100,0.245252,0.114727,#,#,#,#,#,#,#
6.288000,1.369539,-0.226873,0.076262,0.154598,-0.002530,-0.027937,0.243052,0.114952,#,#,#,#,#,#,#
6.390000,1.326425,-0.218391,0.085649,0.152342,-0.002535,-0.038147,0.240182,0.114841,#,#,#,#,#,#,#
6.492000,1.284081,-0.214419,0.090477,0.151837,-0.002536,-0.048143,0.237397,0.114758,#,#,#,#,#,#,#
6.594000,1.242366,-0.214228,0.090985,0.151844,-0.002533,-0.057980,0.234646,0.114699,#,#,#,#,#,#,#
6.696000,1.200929,-0.216848,0.088719,0.152233,-0.002526,-0.067731,0.231779,0.114572,#,#,#,#,#,#,#
6.798000,1.159767,-0.224771,0.080966,0.154445,-0.002514,-0.077534,0.229061,0.114478,#,#,#,#,#,#,#
6.900000,1.119024,-0.237434,0.068200,0.158541,-0.002498,-0.087382,0.226442,0.114455,#,#,#,#,#,#,#
7.002000,1.078850,-0.254128,0.051240,0.164168,-0.002480,-0.097241,0.223840,0.114453,#,#,#,#,#,#,#
7.104000,1.045949,-0.259228,0.051402,0.163446,-0.002492,-0.104794,0.220396,0.113136,#,#,#,#,#,#,#
7.206000,1.030550,-0.228648,0.102715,0.142862,-0.002951,-0.105978,0.214780,0.107884,#,#,#,#,#,#,#
7.308000,1.022762,-0.182115,0.176387,0.111680,-0.004072,-0.104007,0.207865,0.100628,#,#,#,#,#,#,#
7.410000,1.015142,-0.137099,0.248262,0.079505,-0.005237,-0.101678,0.200687,0.093150,#,#,#,#,#,#,#
7.512000,1.006125,-0.097720,0.313235,0.048857,-0.006245,-0.099653,0.193617,0.085871,#,#,#,#,#,#,#
7.614000,0.996085,-0.063063,0.372943,0.019330,-0.007142,-0.097798,0.186634,0.078700,#,#,#,#,#,#,#
