time,a1m,a2m,a3m,a4m,a5m,x,y,z,cx,cy,cz,x_min,x_max,y_min,y_max
0.100000,0.945038,0.056278,0.609780,-0.128078,-0.013937,-0.087536,0.153389,0.044541,-0.050000,0.200000,0.080000,-0.132447,0.032447,0.127908,0.272092
0.200000,0.982828,0.072378,0.622915,-0.136452,-0.013963,-0.080656,0.155360,0.044452,#,#,#,#,#,#,#
0.300000,1.036379,0.093029,0.638898,-0.147036,-0.013989,-0.070987,0.157983,0.044466,#,#,#,#,#,#,#
0.400000,1.093319,0.110500,0.652100,-0.155816,-0.014010,-0.060929,0.160646,0.044516,#,#,#,#,#,#,#
0.500000,1.150223,0.122626,0.661169,-0.161683,-0.014025,-0.051105,0.163267,0.044568,#,#,#,#,#,#,#
0.600000,1.207205,0.129475,0.666313,-0.164673,-0.014034,-0.041431,0.165877,0.044614,#,#,#,#,#,#,#
0.700000,1.264522,0.131410,0.667843,-0.165166,-0.014038,-0.031779,0.168468,0.044644,#,#,#,#,#,#,#
0.800000,1.322008,0.130432,0.667460,-0.164903,-0.014036,-0.022040,0.170752,0.044567,#,#,#,#,#,#,#
0.900000,1.379265,0.124122,0.663282,-0.161947,-0.014025,-0.012331,0.173037,0.044442,#,#,#,#,#,#,#
1.002000,1.437016,0.111394,0.653824,-0.155218,-0.014007,-0.002497,0.175603,0.044426,#,#,#,#,#,#,#
1.102000,1.479908,0.094783,0.634710,-0.142503,-0.013952,0.004886,0.179018,0.045832,#,#,#,#,#,#,#
1.202000,1.488723,0.076434,0.597364,-0.119321,-0.013454,0.006085,0.184828,0.051074,#,#,#,#,#,#,#
1.302000,1.483776,0.055353,0.550136,-0.090942,-0.012544,0.004583,0.191774,0.058230,#,#,#,#,#,#,#
1.402000,1.476630,0.030692,0.499487,-0.061356,-0.011529,0.002545,0.198798,0.065618,#,#,#,#,#,#,#
1.502000,1.470336,0.002369,0.446749,-0.031526,-0.010492,0.000587,0.205709,0.072815,#,#,#,#,#,#,#
1.602000,1.464966,-0.029460,0.391395,-0.001351,-0.009422,-0.001257,0.212574,0.079897,#,#,#,#,#,#,#
1.702000,1.460091,-0.064702,0.332814,0.029292,-0.008306,-0.003064,0.219437,0.086961,#,#,#,#,#,#,#
1.802000,1.455507,-0.103410,0.270542,0.060401,-0.007144,-0.004875,0.226308,0.094034,#,#,#,#,#,#,#
1.902000,1.451169,-0.145728,0.204121,0.091910,-0.005942,-0.006693,0.233183,0.101114,#,#,#,#,#,#,#
2.004000,1.446993,-0.192902,0.131437,0.124385,-0.004680,-0.008551,0.240201,0.108337,#,#,#,#,#,#,#
2.106000,1.434820,-0.228946,0.074600,0.148373,-0.004109,-0.012094,0.245147,0.114013,#,#,#,#,#,#,#
2.208000,1.402238,-0.231745,0.065447,0.152015,-0.004110,-0.020103,0.244916,0.115683,#,#,#,#,#,#,#
2.310000,1.360231,-0.222876,0.074156,0.149705,-0.004118,-0.030149,0.242449,0.115815,#,#,#,#,#,#,#
2.412000,1.317212,-0.215091,0.082687,0.147780,-0.004123,-0.040322,0.239569,0.115742,#,#,#,#,#,#,#
2.514000,1.275045,-0.212118,0.086297,0.147545,-0.004123,-0.050277,0.236817,0.115696,#,#,#,#,#,#,#
2.616000,1.233407,-0.212275,0.086288,0.147563,-0.004119,-0.060084,0.234025,0.115661,#,#,#,#,#,#,#
2.718000,1.192021,-0.215887,0.082838,0.148303,-0.004111,-0.069841,0.231181,0.115574,#,#,#,#,#,#,#
2.820000,1.150936,-0.224829,0.073816,0.151047,-0.004098,-0.079657,0.228495,0.115552,#,#,#,#,#,#,#
2.922000,1.110304,-0.238340,0.060031,0.155597,-0.004082,-0.089510,0.225884,0.115582,#,#,#,#,#,#,#
3.024000,1.070391,-0.255514,0.042561,0.161474,-0.004064,-0.099334,0.223267,0.115600,#,#,#,#,#,#,#
3.126000,1.041367,-0.252712,0.053763,0.156646,-0.004104,-0.105534,0.219361,0.113517,#,#,#,#,#,#,#
3.228000,1.028597,-0.216087,0.113099,0.132404,-0.004769,-0.105686,0.213356,0.107652,#,#,#,#,#,#,#
3.330000,1.021217,-0.168430,0.187726,0.100176,-0.005969,-0.103490,0.206319,0.100296,#,#,#,#,#,#,#
3.432000,1.013307,-0.124027,0.258249,0.067980,-0.007131,-0.101218,0.199154,0.092897,#,#,#,#,#,#,#
3.534000,1.004027,-0.085198,0.322025,0.037330,-0.008138,-0.099247,0.192109,0.085693,#,#,#,#,#,#,#
3.636000,0.993820,-0.050781,0.380978,0.007655,-0.009050,-0.097405,0.185133,0.078570,#,#,#,#,#,#,#
3.738000,0.982928,-0.020000,0.436439,-0.021441,-0.009904,-0.095571,0.178167,0.071449,#,#,#,#,#,#,#
3.840000,0.971331,0.007237,0.488847,-0.049964,-0.010701,-0.093724,0.171194,0.064315,#,#,#,#,#,#,#
3.942000,0.958932,0.030761,0.538325,-0.077775,-0.011430,-0.091871,0.164220,0.057173,#,#,#,#,#,#,#
4.044000,0.947079,0.050627,0.584486,-0.104456,-0.012052,-0.089856,0.157428,0.050169,#,#,#,#,#,#,#
4.146000,0.961267,0.071619,0.618226,-0.124731,-0.012204,-0.084746,0.154518,0.046204,#,#,#,#,#,#,#
4.248000,1.006943,0.094028,0.638389,-0.137599,-0.012230,-0.075995,0.156113,0.045562,#,#,#,#,#,#,#
4.350000,1.064278,0.113578,0.651979,-0.146591,-0.012251,-0.065913,0.159086,0.045885,#,#,#,#,#,#,#
4.452000,1.122822,0.128258,0.662104,-0.153206,-0.012268,-0.055803,0.161989,0.046134,#,#,#,#,#,#,#
4.554000,1.180985,0.137691,0.668976,-0.157417,-0.012280,-0.045878,0.164701,0.046221,#,#,#,#,#,#,#
4.656000,1.239293,0.141920,0.672250,-0.158947,-0.012287,-0.036029,0.167351,0.046254,#,#,#,#,#,#,#
4.758000,1.297877,0.142062,0.672512,-0.158946,-0.012288,-0.026140,0.169843,0.046236,#,#,#,#,#,#,#
4.860000,1.356419,0.138164,0.670280,-0.157407,-0.012280,-0.016205,0.172099,0.046080,#,#,#,#,#,#,#
4.962000,1.414474,0.127700,0.662767,-0.152117,-0.012265,-0.006350,0.174581,0.046018,#,#,#,#,#,#,#
5.064000,1.467804,0.111732,0.648788,-0.142537,-0.012239,0.002818,0.177449,0.046439,#,#,#,#,#,#,#
5.166000,1.488435,0.093028,0.616708,-0.122373,-0.011944,0.006201,0.182523,0.050433,#,#,#,#,#,#,#
5.268000,1.486017,0.071688,0.570469,-0.094458,-0.011101,0.005213,0.189380,0.057316,#,#,#,#,#,#,#
5.370000,1.478880,0.046819,0.519059,-0.064332,-0.010067,0.003200,0.196569,0.064869,#,#,#,#,#,#,#
5.472000,1.472110,0.018194,0.465393,-0.033888,-0.009006,0.001158,0.203650,0.072271,#,#,#,#,#,#,#
5.574000,1.466408,-0.014059,0.409219,-0.003190,-0.007921,-0.000748,0.210659,0.079516,#,#,#,#,#,#,#
5.676000,1.461330,-0.049829,0.349832,0.027937,-0.006794,-0.002595,0.217658,0.086721,#,#,#,#,#,#,#
5.778000,1.456587,-0.089146,0.286700,0.059523,-0.005621,-0.004440,0.224664,0.093933,#,#,#,#,#,#,#
5.880000,1.452106,-0.132150,0.219342,0.091510,-0.004408,-0.006293,0.231677,0.101154,#,#,#,#,#,#,#
5.982000,1.447877,-0.179114,0.147119,0.123820,-0.003161,-0.008151,0.238694,0.108378,#,#,#,#,#,#,#
6.084000,1.439305,-0.221672,0.081351,0.151501,-0.002330,-0.010930,0.244567,0.114747,#,#,#,#,#,#,#
6.186000,1.410513,-0.230342,0.063542,0.158497,-0.002323,-0.018102,0.245261,0.117157,#,#,#,#,#,#,#
6.288000,1.369539,-0.222485,0.070674,0.156667,-0.002331,-0.027938,0.243059,0.117422,#,#,#,#,#,#,#
6.390000,1.326426,-0.213873,0.080010,0.154469,-0.002336,-0.038148,0.240187,0.117356,#,#,#,#,#,#,#
6.492000,1.284081,-0.209805,0.084765,0.154002,-0.002337,-0.048144,0.237402,0.117313,#,#,#,#,#,#,#
6.594000,1.242366,-0.209582,0.085226,0.154011,-0.002334,-0.057982,0.234652,0.117272,#,#,#,#,#,#,#
6.696000,1.200929,-0.212139,0.082841,0.154429,-0.002326,-0.067734,0.231786,0.117189,#,#,#,#,#,#,#
6.798000,1.159767,-0.220004,0.074934,0.156686,-0.002314,-0.077538,0.229071,0.117150,#,#,#,#,#,#,#
6.900000,1.119025,-0.232641,0.062027,0.160808,-0.002299,-0.087387,0.226452,0.117173,#,#,#,#,#,#,#
7.002000,1.078850,-0.249332,0.044924,0.166447,-0.002281,-0.097246,0.223850,0.117212,#,#,#,#,#,#,#
7.104000,1.045950,-0.254209,0.045159,0.165702,-0.002293,-0.104799,0.220405,0.115933,#,#,#,#,#,#,#
7.206000,1.030551,-0.222732,0.097099,0.145000,-0.002761,-0.105982,0.214786,0.110725,#,#,#,#,#,#,#
7.308000,1.022762,-0.174982,0.171598,0.113634,-0.003899,-0.104010,0.207870,0.103514,#,#,#,#,#,#,#
7.410000,1.015142,-0.128698,0.244265,0.081239,-0.005085,-0.101681,0.200691,0.096076,#,#,#,#,#,#,#
7.512000,1.006125,-0.088033,0.309969,0.050340,-0.006117,-0.099656,0.193621,0.088837,#,#,#,#,#,#,#
7.614000,0.996085,-0.052033,0.370382,0.020523,-0.007042,-0.097800,0.186638,0.081707,#,#,#,#,#,#,#
7.716000,0.985337,-0.019728,0.427094,-0.008705,-0.007908,-0.095969,0.179671,0.074588,#,#,#,#,#,#,#
7.818000,0.973899,0.009101,0.480697,-0.037420,-0.008724,-0.094124,0.172700,0.067457,#,#,#,#,#,#,#
7.920000,0.961682,0.034325,0.531353,-0.065504,-0.009478,-0.092271,0.165724,0.060317,#,#,#,#,#,#,#
8.022000,0.948781,0.055757,0.579080,-0.092763,-0.010152,-0.090397,0.158769,0.053191,#,#,#,#,#,#,#
8.122000,0.954464,0.076327,0.616156,-0.114653,-0.010415,-0.086348,0.154688,0.048349,#,#,#,#,#,#,#
8.222000,0.993474,0.098709,0.638634,-0.128658,-0.010443,-0.078439,0.155470,0.047161,#,#,#,#,#,#,#
8.322000,1.048211,0.119082,0.653238,-0.138162,-0.010464,-0.068712,0.158253,0.047389,#,#,#,#,#,#,#
8.422000,1.105658,0.135029,0.664084,-0.145213,-0.010482,-0.058756,0.161161,0.047685,#,#,#,#,#,#,#
8.522000,1.162749,0.145931,0.671866,-0.150046,-0.010496,-0.048978,0.163863,0.047808,#,#,#,#,#,#,#
8.622000,1.219826,0.151768,0.676267,-0.152387,-0.010504,-0.039310,0.166470,0.047848,#,#,#,#,#,#,#
8.722000,1.277185,0.152909,0.677239,-0.152597,-0.010507,-0.029646,0.169017,0.047857,#,#,#,#,#,#,#
8.822000,1.334646,0.151018,0.676372,-0.152020,-0.010503,-0.019898,0.171244,0.047735,#,#,#,#,#,#,#
8.922000,1.391795,0.143107,0.670993,-0.148290,-0.010491,-0.010208,0.173584,0.047623,#,#,#,#,#,#,#
9.022000,1.448043,0.129199,0.660574,-0.141053,-0.010472,-0.000601,0.176141,0.047638,#,#,#,#,#,#,#
9.122000,1.484024,0.111319,0.637322,-0.126098,-0.010367,0.005564,0.180017,0.049798,#,#,#,#,#,#,#
9.222000,1.488247,0.090811,0.596270,-0.101088,-0.009728,0.005890,0.186188,0.055622,#,#,#,#,#,#,#
9.322000,1.482360,0.067133,0.546945,-0.071969,-0.008749,0.004184,0.193198,0.062911,#,#,#,#,#,#,#
9.422000,1.475286,0.039930,0.494766,-0.042108,-0.007705,0.002140,0.200199,0.070267,#,#,#,#,#,#,#
9.522000,1.469210,0.009244,0.440464,-0.012112,-0.006649,0.000210,0.207095,0.077431,#,#,#,#,#,#,#
9.622000,1.463968,-0.024808,0.383396,0.018184,-0.005564,-0.001620,0.213958,0.084505,#,#,#,#,#,#,#
9.722000,1.459161,-0.062195,0.322964,0.048886,-0.004439,-0.003427,0.220822,0.091570,#,#,#,#,#,#,#
9.822000,1.454626,-0.103018,0.258698,0.079981,-0.003275,-0.005240,0.227696,0.098646,#,#,#,#,#,#,#
9.922000,1.450337,-0.147457,0.190096,0.111396,-0.002077,-0.007059,0.234573,0.105727,#,#,#,#,#,#,#
10.022000,1.446177,-0.195633,0.116741,0.142932,-0.000864,-0.008898,0.241431,0.112793,#,#,#,#,#,#,#
10.122000,1.430895,-0.226243,0.067934,0.162778,-0.000515,-0.013092,0.245416,0.117707,#,#,#,#,#,#,#
10.222000,1.396758,-0.226032,0.063474,0.164589,-0.000518,-0.021428,0.244663,0.118936,#,#,#,#,#,#,#
10.322000,1.355150,-0.216901,0.072736,0.162266,-0.000525,-0.031357,0.242119,0.119008,#,#,#,#,#,#,#
10.422000,1.313047,-0.209644,0.080766,0.160655,-0.000529,-0.041308,0.239298,0.118939,#,#,#,#,#,#,#
10.522000,1.271773,-0.207148,0.083891,0.160528,-0.000529,-0.051053,0.236612,0.118887,#,#,#,#,#,#,#
10.622000,1.230972,-0.207420,0.083738,0.160549,-0.000525,-0.060660,0.233862,0.118855,#,#,#,#,#,#,#
10.722000,1.190409,-0.211262,0.080027,0.161313,-0.000516,-0.070229,0.231084,0.118770,#,#,#,#,#,#,#
10.822000,1.150141,-0.220241,0.070919,0.163956,-0.000503,-0.079856,0.228456,0.118751,#,#,#,#,#,#,#
10.922000,1.110310,-0.233613,0.057217,0.168280,-0.000487,-0.089516,0.225897,0.118780,#,#,#,#,#,#,#
11.022000,1.071149,-0.250576,0.039868,0.173869,-0.000470,-0.099156,0.223335,0.118803,#,#,#,#,#,#,#
11.122000,1.042142,-0.248610,0.049609,0.169691,-0.000502,-0.105429,0.219568,0.116879,#,#,#,#,#,#,#
11.222000,1.029109,-0.212703,0.107425,0.146793,-0.001097,-0.105781,0.213757,0.111263,#,#,#,#,#,#,#
11.322000,1.021788,-0.164675,0.181883,0.115599,-0.002242,-0.103681,0.206887,0.104088,#,#,#,#,#,#,#
11.422000,1.014154,-0.119256,0.252949,0.084084,-0.003379,-0.101428,0.199854,0.096816,#,#,#,#,#,#,#
11.522000,1.005181,-0.079253,0.317299,0.053998,-0.004371,-0.099471,0.192936,0.089737,#,#,#,#,#,#,#
11.622000,0.995269,-0.043592,0.376725,0.024855,-0.005269,-0.097658,0.186093,0.082751,#,#,#,#,#,#,#
11.722000,0.984687,-0.011405,0.432654,-0.003776,-0.006116,-0.095862,0.179263,0.075771,#,#,#,#,#,#,#
11.822000,0.973439,0.017486,0.485601,-0.031947,-0.006916,-0.094052,0.172428,0.068780,#,#,#,#,#,#,#
11.922000,0.961437,0.042956,0.535716,-0.059545,-0.007661,-0.092235,0.165588,0.061780,#,#,#,#,#,#,#
12.022000,0.948785,0.064832,0.583011,-0.086391,-0.008332,-0.090398,0.158770,0.054794,#,#,#,#,#,#,#
12.122000,0.954467,0.086124,0.620486,-0.108366,-0.008603,-0.086349,0.154689,0.049952,#,#,#,#,#,#,#
12.222000,0.993478,0.108842,0.643126,-0.122333,-0.008630,-0.078439,0.155471,0.048763,#,#,#,#,#,#,#
12.322000,1.048215,0.129378,0.657794,-0.131759,-0.008652,-0.068712,0.158254,0.048992,#,#,#,#,#,#,#
12.422000,1.105662,0.145440,0.668683,-0.138741,-0.008670,-0.058756,0.161162,0.049289,#,#,#,#,#,#,#
12.522000,1.162752,0.156431,0.676502,-0.143526,-0.008684,-0.048978,0.163863,0.049411,#,#,#,#,#,#,#
12.622000,1.219829,0.162319,0.680928,-0.145836,-0.008692,-0.039310,0.166471,0.049451,#,#,#,#,#,#,#
12.722000,1.277189,0.163466,0.681908,-0.146039,-0.008695,-0.029646,0.169017,0.049460,#,#,#,#,#,#,#
12.822000,1.334649,0.161531,0.681027,-0.145464,-0.008691,-0.019899,0.171247,0.049334,#,#,#,#,#,#,#
