time,a1m,a2m,a3m,a4m,a5m,x,y,z
0.100000,-0.242215,-0.421221,0.147719,0.124828,0.012848,-0.228253,-0.049823,0.049724
0.200000,-0.248695,-0.363517,0.209414,0.098636,0.011974,-0.221098,-0.049618,0.049513
0.300000,-0.259171,-0.283958,0.290255,0.061916,0.010312,-0.211061,-0.049526,0.049490
0.400000,-0.271229,-0.202157,0.369481,0.023339,0.008512,-0.200619,-0.049475,0.049518
0.500000,-0.284183,-0.122493,0.442814,-0.015032,0.006741,-0.190447,-0.049444,0.049569
0.600000,-0.298215,-0.043476,0.511730,-0.053878,0.004932,-0.180449,-0.049423,0.049632
0.700000,-0.313638,0.036610,0.577645,-0.094074,0.003003,-0.170481,-0.049403,0.049693
0.800000,-0.330727,0.118786,0.641078,-0.136238,0.000895,-0.160497,-0.049380,0.049750
0.900000,-0.349755,0.203743,0.702067,-0.180955,-0.001447,-0.150501,-0.049357,0.049802
1.002000,-0.371503,0.294004,0.761601,-0.230018,-0.004153,-0.140302,-0.049332,0.049852
1.102000,-0.377732,0.373456,0.809804,-0.274660,-0.006516,-0.132272,-0.047348,0.049845
1.202000,-0.338398,0.418959,0.835694,-0.300615,-0.007237,-0.129680,-0.040233,0.049836
1.302000,-0.273130,0.443414,0.848848,-0.314595,-0.007269,-0.129728,-0.030307,0.049884
1.402000,-0.201996,0.459115,0.857064,-0.323614,-0.007291,-0.130072,-0.019861,0.049923
1.502000,-0.131048,0.468920,0.862203,-0.329212,-0.007306,-0.130205,-0.009616,0.049937
1.602000,-0.060401,0.472172,0.864005,-0.330878,-0.007314,-0.130218,0.000465,0.049938
1.702000,0.010269,0.470102,0.863692,-0.330078,-0.007310,-0.129904,0.010507,0.049773
1.802000,0.080577,0.460058,0.859678,-0.324456,-0.007294,-0.129583,0.020513,0.049526
1.902000,0.149835,0.441545,0.850454,-0.313257,-0.007268,-0.129509,0.030518,0.049443
2.004000,0.218713,0.415399,0.836480,-0.297424,-0.007233,-0.129540,0.040735,0.049443
2.106000,0.266926,0.370055,0.810768,-0.270736,-0.006509,-0.131678,0.048808,0.049490
2.208000,0.269710,0.290392,0.762278,-0.225498,-0.004056,-0.139424,0.051489,0.049546
2.310000,0.254882,0.199064,0.702100,-0.175396,-0.001107,-0.149720,0.051750,0.049494
2.412000,0.238811,0.110386,0.638588,-0.128135,0.001578,-0.160288,0.051515,0.049412
2.514000,0.225558,0.026218,0.573436,-0.084326,0.003934,-0.170620,0.051436,0.049367
2.616000,0.214453,-0.055241,0.505992,-0.042840,0.006068,-0.180828,0.051501,0.049346
2.718000,0.204564,-0.135462,0.435564,-0.002865,0.008060,-0.191022,0.051600,0.049324
2.820000,0.195518,-0.215296,0.361667,0.036015,0.009950,-0.201229,0.051689,0.049295
2.922000,0.187215,-0.295426,0.283764,0.074042,0.011762,-0.211446,0.051770,0.049260
3.024000,0.179463,-0.376207,0.201523,0.111201,0.013496,-0.221635,0.051818,0.049219
3.126000,0.161174,-0.425700,0.149588,0.133173,0.014016,-0.228548,0.048608,0.049126
3.228000,0.125449,-0.427059,0.147906,0.133897,0.014009,-0.230380,0.040077,0.049176
3.330000,0.083079,-0.414453,0.161269,0.129527,0.013998,-0.230419,0.029665,0.049321
3.432000,0.040286,-0.403837,0.172916,0.126037,0.013991,-0.230194,0.019212,0.049379
3.534000,-0.001893,-0.398416,0.179263,0.124799,0.013989,-0.230114,0.008981,0.049385
3.636000,-0.043798,-0.397254,0.181034,0.124772,0.013991,-0.230099,-0.001163,0.049334
3.738000,-0.085597,-0.397702,0.180628,0.124819,0.013996,-0.229875,-0.011282,0.049307
3.840000,-0.127198,-0.401906,0.176228,0.126001,0.014007,-0.229653,-0.021391,0.049228
3.942000,-0.168435,-0.410876,0.166527,0.129297,0.014021,-0.229612,-0.031514,0.049190
4.044000,-0.208494,-0.421631,0.154756,0.133432,0.014034,-0.229446,-0.041460,0.049182
4.146000,-0.235088,-0.394954,0.182588,0.122094,0.013848,-0.225297,-0.047248,0.049325
4.248000,-0.247954,-0.324033,0.255474,0.090681,0.012613,-0.216386,-0.048240,0.049499
4.350000,-0.257692,-0.239886,0.339026,0.052127,0.010826,-0.205832,-0.047807,0.049547
4.452000,-0.268892,-0.156812,0.417717,0.013120,0.009022,-0.195307,-0.047487,0.049562
4.554000,-0.281992,-0.075568,0.490601,-0.025798,0.007239,-0.185037,-0.047403,0.049606
4.656000,-0.296674,0.006053,0.559682,-0.065674,0.005374,-0.174863,-0.047396,0.049669
4.758000,-0.312920,0.089584,0.626063,-0.107354,0.003345,-0.164688,-0.047386,0.049731
4.860000,-0.330972,0.175919,0.689993,-0.151476,0.001093,-0.154496,-0.047365,0.049787
4.962000,-0.351174,0.265844,0.751384,-0.198802,-0.001453,-0.144297,-0.047340,0.049839
5.064000,-0.368492,0.356121,0.807702,-0.248043,-0.004184,-0.134674,-0.046715,0.049866
5.166000,-0.344347,0.415302,0.842114,-0.281053,-0.005496,-0.130117,-0.041287,0.049831
5.268000,-0.283427,0.444989,0.858351,-0.297651,-0.005589,-0.129613,-0.031820,0.049869
5.370000,-0.211184,0.462043,0.867330,-0.307173,-0.005612,-0.129986,-0.021190,0.049917
5.472000,-0.138341,0.472555,0.872855,-0.313006,-0.005628,-0.130186,-0.010662,0.049938
5.574000,-0.066104,0.476433,0.875002,-0.314948,-0.005637,-0.130221,-0.000347,0.049942
5.676000,0.005995,0.474666,0.874773,-0.314316,-0.005635,-0.129930,0.009900,0.049791
5.778000,0.077724,0.464739,0.870841,-0.308949,-0.005619,-0.129592,0.020104,0.049531
5.880000,0.148400,0.445867,0.861399,-0.297809,-0.005593,-0.129510,0.030308,0.049442
5.982000,0.217321,0.419550,0.847260,-0.282231,-0.005559,-0.129541,0.040525,0.049442
6.084000,0.273633,0.379803,0.824766,-0.259263,-0.005158,-0.130724,0.049561,0.049473
6.186000,0.283646,0.305456,0.779686,-0.217758,-0.003068,-0.137421,0.053211,0.049540
6.288000,0.270024,0.214793,0.720349,-0.168825,-0.000231,-0.147431,0.053782,0.049508
6.390000,0.252942,0.125152,0.656659,-0.121827,0.002435,-0.158027,0.053556,0.049424
6.492000,0.238528,0.040164,0.591347,-0.078297,0.004770,-0.168407,0.053431,0.049371
6.594000,0.226571,-0.041725,0.523947,-0.037229,0.006868,-0.178629,0.053476,0.049348
6.696000,0.216023,-0.122138,0.453701,0.002257,0.008817,-0.188821,0.053574,0.049328
6.798000,0.206399,-0.202019,0.380085,0.040621,0.010660,-0.199026,0.053667,0.049301
6.900000,0.197563,-0.282064,0.302579,0.078114,0.012424,-0.209241,0.053749,0.049266
7.002000,0.189452,-0.363009,0.220463,0.114899,0.014125,-0.219462,0.053828,0.049228
7.104000,0.174911,-0.424092,0.156304,0.141715,0.014954,-0.227586,0.051839,0.049139
7.206000,0.142120,-0.432330,0.147308,0.145164,0.014951,-0.230222,0.044181,0.049146
7.308000,0.100502,-0.420046,0.160332,0.140975,0.014939,-0.230466,0.033943,0.049298
7.410000,0.057683,-0.407686,0.173835,0.136846,0.014931,-0.230229,0.023446,0.049373
7.512000,0.015433,-0.400462,0.182111,0.134886,0.014928,-0.230114,0.013177,0.049386
7.614000,-0.026501,-0.397867,0.185527,0.134672,0.014928,-0.230108,0.003024,0.049357
7.716000,-0.068347,-0.397834,0.185733,0.134682,0.014932,-0.229999,-0.007106,0.049326
7.818000,-0.110058,-0.400098,0.183419,0.135138,0.014940,-0.229721,-0.017217,0.049257
7.920000,-0.151467,-0.407191,0.175772,0.137509,0.014953,-0.229615,-0.027334,0.049201
8.022000,-0.192325,-0.418285,0.163638,0.141671,0.014969,-0.229606,-0.037443,0.049184
8.122000,-0.222466,-0.403725,0.178762,0.135555,0.014903,-0.226805,-0.044443,0.049282
8.222000,-0.237049,-0.341527,0.243231,0.108761,0.013985,-0.218923,-0.046233,0.049473
8.322000,-0.246342,-0.259959,0.325265,0.072324,0.012346,-0.208757,-0.045938,0.049547
8.422000,-0.256394,-0.177477,0.404689,0.034508,0.010612,-0.198367,-0.045548,0.049560
8.522000,-0.268307,-0.097079,0.478181,-0.003097,0.008912,-0.188237,-0.045413,0.049593
8.622000,-0.281789,-0.016854,0.547507,-0.041328,0.007160,-0.178249,-0.045395,0.049652
8.722000,-0.296706,0.064950,0.614063,-0.081084,0.005272,-0.168277,-0.045389,0.049714
8.822000,-0.313218,0.149350,0.678300,-0.123005,0.003187,-0.158290,-0.045371,0.049772
8.922000,-0.331619,0.237133,0.740221,-0.167758,0.000843,-0.148293,-0.045347,0.049825
9.022000,-0.351999,0.328953,0.799523,-0.216167,-0.001839,-0.138316,-0.045296,0.049873
9.122000,-0.348319,0.403773,0.844179,-0.256807,-0.003853,-0.131358,-0.042305,0.049843
9.222000,-0.300471,0.442754,0.866048,-0.278151,-0.004228,-0.129591,-0.034379,0.049848
9.322000,-0.232021,0.462644,0.876661,-0.288963,-0.004252,-0.129814,-0.024215,0.049900
9.422000,-0.160089,0.474509,0.882904,-0.295362,-0.004269,-0.130120,-0.013787,0.049935
9.522000,-0.088846,0.480252,0.886016,-0.298294,-0.004280,-0.130217,-0.003585,0.049944
9.622000,-0.018058,0.480169,0.886295,-0.298318,-0.004282,-0.130076,0.006484,0.049886
9.722000,0.052442,0.473448,0.884084,-0.295081,-0.004271,-0.129681,0.016498,0.049602
9.822000,0.122178,0.457774,0.876566,-0.286203,-0.004249,-0.129521,0.026495,0.049456
9.922000,0.190477,0.434315,0.864128,-0.272608,-0.004219,-0.129526,0.036507,0.049436
10.022000,0.256489,0.404229,0.847437,-0.255404,-0.004178,-0.129589,0.046505,0.049448
10.122000,0.294793,0.351626,0.816491,-0.226202,-0.003229,-0.132582,0.053523,0.049501
10.222000,0.291981,0.269735,0.764874,-0.182182,-0.000845,-0.140765,0.055617,0.049538
10.322000,0.275408,0.180125,0.703894,-0.135463,0.001830,-0.150968,0.055725,0.049476
10.422000,0.258728,0.093812,0.640321,-0.091575,0.004241,-0.161309,0.055489,0.049401
10.522000,0.244943,0.011666,0.575228,-0.050661,0.006365,-0.171422,0.055426,0.049361
10.622000,0.233240,-0.068059,0.507910,-0.011727,0.008299,-0.181426,0.055497,0.049341
10.722000,0.222745,-0.146681,0.437709,0.025897,0.010110,-0.191420,0.055595,0.049320
10.822000,0.213118,-0.224985,0.364148,0.062552,0.011830,-0.201428,0.055683,0.049291
10.922000,0.204262,-0.303629,0.286682,0.098438,0.013481,-0.211444,0.055763,0.049257
11.022000,0.196017,-0.383010,0.204914,0.133538,0.015060,-0.221441,0.055817,0.049216
11.122000,0.178300,-0.432873,0.151997,0.154795,0.015543,-0.228391,0.052845,0.049124
11.222000,0.143931,-0.434563,0.149942,0.155599,0.015536,-0.230353,0.044656,0.049170
11.322000,0.102754,-0.420971,0.164513,0.151012,0.015524,-0.230438,0.034494,0.049315
11.422000,0.060904,-0.408670,0.178072,0.146991,0.015516,-0.230202,0.024228,0.049377
11.522000,0.019576,-0.401436,0.186406,0.145077,0.015513,-0.230106,0.014180,0.049385
11.622000,-0.021516,-0.398567,0.190126,0.144831,0.015513,-0.230109,0.004230,0.049364
11.722000,-0.062556,-0.398411,0.190529,0.144835,0.015516,-0.230035,-0.005705,0.049325
11.822000,-0.103487,-0.400030,0.188882,0.145103,0.015524,-0.229758,-0.015621,0.049269
11.922000,-0.144147,-0.406194,0.182229,0.147020,0.015536,-0.229622,-0.025538,0.049208
12.022000,-0.184295,-0.416357,0.171075,0.150685,0.015550,-0.229601,-0.035446,0.049186
12.122000,-0.214419,-0.401328,0.186753,0.144500,0.015488,-0.226803,-0.042444,0.049284
12.222000,-0.228757,-0.338825,0.251701,0.118077,0.014605,-0.218920,-0.044231,0.049477
12.322000,-0.237697,-0.256990,0.334200,0.082188,0.013016,-0.208752,-0.043935,0.049552
12.422000,-0.247362,-0.174182,0.414117,0.044919,0.011332,-0.198363,-0.043546,0.049564
12.522000,-0.258869,-0.093362,0.488148,0.007825,0.009678,-0.188234,-0.043411,0.049597
